Title,Coordinates,Website,Phone,Description,URL
Yosemite Valley Stables,"37.741140, -119.564426",,,,https://www.google.com/maps/place/Yosemite+Valley+Stables/data=!4m2!3m1!1s0x8096f236b8f9b307:0xb47eaa1a1738d2da
Big Creek Trail Ride,"37.392356, -91.615313",,,,https://www.google.com/maps/place/Big+Creek+Trail+Ride/data=!4m2!3m1!1s0x87da7141cd5b5b1d:0x238d03bc089ea739
Bridle Ridge Horse & RV Camp,"43.811438, -103.712841",,,,https://www.google.com/maps/place/Bridle+Ridge+Horse+%26+RV+Camp/data=!4m2!3m1!1s0x8762c99ed2c9a6bf:0x2c05de169e72f328
Lumber River Campground,"34.398534, -78.966927",,,,https://www.google.com/maps/place/Lumber+River+Campground/data=!4m2!3m1!1s0x89aaeb04e8d1a1c3:0xc1dd1bc15bf6c985
H COOPER BLACK PARK,"34.564419, -79.927396",,,,https://www.google.com/maps/place/H+COOPER+BLACK+PARK/data=!4m2!3m1!1s0x88550e25a93a3691:0x2876fc2c4d66142a
Chattooga Trails Bed & Barn,"34.857460, -83.182813",,,,https://www.google.com/maps/place/Chattooga+Trails+Bed+%26+Barn/data=!4m2!3m1!1s0x8858e619b88a8229:0xa104a323f84efada
Mingo Trails Saddle Club,"32.732355, -83.010908",,,,https://www.google.com/maps/place/Mingo+Trails+Saddle+Club/data=!4m2!3m1!1s0x88f12f1b75a45aed:0x28ea68948e17117d
Cowshed Cabin Farm,"43.505628, -72.493270",,,,https://www.google.com/maps/place/Cowshed+Cabin+Farm/data=!4m2!3m1!1s0x89e1dac6ddceaa1f:0x979cf2caf0899504
East Fork Stables,"36.339849, -84.954182",,,,https://www.google.com/maps/place/East+Fork+Stables/data=!4m2!3m1!1s0x886763b2b2363d77:0xb5e55d625628bf29
Cedar Ridge Trails,"37.632449, -92.315597",,,,https://www.google.com/maps/place/Cedar+Ridge+Trails/data=!4m2!3m1!1s0x87dac8146a53a983:0xf6734d503d11e4f1
Bar-K Wrangler Campsite,"36.859773, -93.008099",,,,https://www.google.com/maps/place/Bar-K+Wrangler+Campsite/data=!4m2!3m1!1s0x87cfa3d7c9a37fa7:0x2b48f426ce5e36a2
Brushy Creek North Equestrian Campground,"42.402897, -93.995643",,,,https://www.google.com/maps/place/Brushy+Creek+North+Equestrian+Campground/data=!4m2!3m1!1s0x87edf364423a8f69:0xf5f8927f91c99ad0
Cross Country Trail Rides,"37.155471, -91.347263",,,,https://www.google.com/maps/place/Cross+Country+Trail+Rides/data=!4m2!3m1!1s0x87d0af855e7f7371:0xc4f0a43b32eac3f5
"River Valley Ranch, Inc.","44.705649, -93.654998",,,,"https://www.google.com/maps/place/River+Valley+Ranch,+Inc./data=!4m2!3m1!1s0x87f60c0f21e0a303:0xa03e8ed36be759ce"
Crows Creek Campground,"39.392043, -94.516976",,,,https://www.google.com/maps/place/Crows+Creek+Campground/data=!4m2!3m1!1s0x87c05029cd65cb07:0x28128abcae7a6340
Wranglers Campground,"36.737665, -88.000043",,,,https://www.google.com/maps/place/Wranglers+Campground/data=!4m2!3m1!1s0x887ae5304144accf:0x6ee8da24133b2e6b
Brushy Creek Lodge & Resort,"37.546659, -91.011036",,,,https://www.google.com/maps/place/Brushy+Creek+Lodge+%26+Resort/data=!4m2!3m1!1s0x87d9ee9d4f30be45:0x67b1f84db185bb3b
Pioneer Ridge,"40.902665, -92.408435",,,,https://www.google.com/maps/place/Pioneer+Ridge/data=!4m2!3m1!1s0x87e88282b50bc297:0xb12d4cf6a63d72e0
Harden's Horse Camp,"38.971106, -86.285751",,,,https://www.google.com/maps/place/Harden's+Horse+Camp/data=!4m2!3m1!1s0x886c75302a46aae1:0xa634cf775bfb6d44
Midwest Trail Ride RV Campground,"38.982769, -86.368755",,,,https://www.google.com/maps/place/Midwest+Trail+Ride+RV+Campground/data=!4m2!3m1!1s0x886c73b09bdb7d09:0xbf9dd23a043309c4
Hoosier Horse Camp,"38.967648, -86.279079",,,,https://www.google.com/maps/place/Hoosier+Horse+Camp/data=!4m2!3m1!1s0x886c76a89da93785:0x346635e35c023147
Ionia Equestrian-Rustic,"42.941298, -85.116782",,,,https://www.google.com/maps/place/Ionia+Equestrian-Rustic/data=!4m2!3m1!1s0x881879f36f61b185:0xd2b8d600866cf275
Little Elden Springs Horse Camp,"35.277945, -111.579299",,,,https://www.google.com/maps/place/Little+Elden+Springs+Horse+Camp/data=!4m2!3m1!1s0x872d8985a15abf39:0xd9d211317327e166
Turtle Lake Campground,"44.620723, -85.912355",,,,https://www.google.com/maps/place/Turtle+Lake+Campground/data=!4m2!3m1!1s0x881e406cfe21135b:0xcaaea333e2f6e5c
Shaker Village of Pleasant Hill,"37.825912, -84.757306",,,,https://www.google.com/maps/place/Shaker+Village+of+Pleasant+Hill/data=!4m2!3m1!1s0x884288f9b4bc7af9:0x4a1186d129866663
Woods Lake Campground,"37.886200, -108.058326",,,,https://www.google.com/maps/place/Woods+Lake+Campground/data=!4m2!3m1!1s0x87392b4498687db3:0x768a627cef0b665e
Palisades Creek Campground,"43.397300, -111.213443",,,,https://www.google.com/maps/place/Palisades+Creek+Campground/data=!4m2!3m1!1s0x535365af3eb62469:0xbf31e41eddb4235e
Fritzlans Guest Ranch,"40.043527, -107.495599",,,,https://www.google.com/maps/place/Fritzlans+Guest+Ranch/data=!4m2!3m1!1s0x8743da6b893c1cfd:0xfdeec792374b3c58
River Road Equestrian Campground,"46.011734, -89.269029",,,,https://www.google.com/maps/place/River+Road+Equestrian+Campground/data=!4m2!3m1!1s0x4d5431a2a1112029:0xa8b65c464fde07c9
Iron Saddle Ranch,"38.604664, -88.969713",,,,https://www.google.com/maps/place/Iron+Saddle+Ranch/data=!4m2!3m1!1s0x8876a7867f278ad5:0xe9a4607d8f2d33e3
King’s Guest Ranch LLC,"46.827452, -103.529383",,,,https://www.google.com/maps/place/King%E2%80%99s+Guest+Ranch+LLC/data=!4m2!3m1!1s0x5325ed9746ae260b:0x5f6e559e20664adf
The Diamond P Ranch,"44.685742, -111.229560",,,,https://www.google.com/maps/place/The+Diamond+P+Ranch/data=!4m2!3m1!1s0x5351b0311277ca49:0xa34715d2461ff6ac
Rocking Dd Horse Ranch and Boarding Facility,"34.656968, -112.312446",,,,https://www.google.com/maps/place/Rocking+Dd+Horse+Ranch+and+Boarding+Facility/data=!4m2!3m1!1s0x872d2347b62f0bbb:0x44deb55ed5d28d4b
Coldwater Ranch,"37.192892, -91.342620",,,,https://www.google.com/maps/place/Coldwater+Ranch/data=!4m2!3m1!1s0x87d0af39f01a9735:0x52dcc1bd780e3e89
Ute Lodge,"40.026727, -107.503864",,,,https://www.google.com/maps/place/Ute+Lodge/data=!4m2!3m1!1s0x8743da2c78eed24b:0x797db85daf50090c
Froggy's River Resort,"37.720889, -92.357466",,,,https://www.google.com/maps/place/Froggy's+River+Resort/data=!4m2!3m1!1s0x87dacf0bcc8b4271:0xa8388481c8b20a4a
Courthouse Rock Campground,"38.720505, -109.734900",,,,https://www.google.com/maps/place/Courthouse+Rock+Campground/data=!4m2!3m1!1s0x874871b7cfebaf3d:0xe8d9812843dc6ddf
Heaven On Earth Ranch,"47.032527, -111.289945",,,,https://www.google.com/maps/place/Heaven+On+Earth+Ranch/data=!4m2!3m1!1s0x5343a2747b5dccad:0xeac07769221b4203
Fort Custer Equestrian Camp & Trailhead,"42.315515, -85.342951",,,,https://www.google.com/maps/place/Fort+Custer+Equestrian+Camp+%26+Trailhead/data=!4m2!3m1!1s0x88178d10b330c17d:0x65634bb1056736bb
Canyon Trails Ranch,"37.335323, -108.792901",,,,https://www.google.com/maps/place/Canyon+Trails+Ranch/data=!4m2!3m1!1s0x87397081f3136c4b:0xcb75585e2f19f877
N Bar Ranch,"33.493051, -108.556360",,,,https://www.google.com/maps/place/N+Bar+Ranch/data=!4m2!3m1!1s0x872701aa852e6b79:0xb58d6357afd185a1
Tombstone Livery Stable & RV park,"31.744814, -110.104628",,,,https://www.google.com/maps/place/Tombstone+Livery+Stable+%26+RV+park/data=!4m2!3m1!1s0x86d73cee20f4c931:0x42b879d63ec70226
Come Again Horse Camp,"38.248109, -86.287809",,,,https://www.google.com/maps/place/Come+Again+Horse+Camp/data=!4m2!3m1!1s0x886eca856c9d8ced:0x980749211def95d4
Orick Rodeo Grounds,"41.295711, -124.050396",,,,https://www.google.com/maps/place/Orick+Rodeo+Grounds/data=!4m2!3m1!1s0x54d105609cf7bde3:0x63c9dca78dc31450
Ride Out Ranch,"33.001536, -111.150343",,,,https://www.google.com/maps/place/Ride+Out+Ranch/data=!4m2!3m1!1s0x872a1fa29726aa6f:0x4e0fe2771827b6af
Hunter Trailhead,"44.338126, -106.975153",,,,https://www.google.com/maps/place/Hunter+Trailhead/data=!4m2!3m1!1s0x534a7dfb4c52ed51:0xe09ad5cf95436cdf
Ten Sleep RV Park,"44.033162, -107.455014",,,,https://www.google.com/maps/place/Ten+Sleep+RV+Park/data=!4m2!3m1!1s0x534ae3daa555e533:0x991894efe176d5dc
Aspen Meadows Ranch Horsecamp,"43.669682, -103.635908",,,,https://www.google.com/maps/place/Aspen+Meadows+Ranch+Horsecamp/data=!4m2!3m1!1s0x8762d3f5f096b33d:0xf262548f48e19013
Teton County Fairgrounds,"43.744029, -111.108386",,,,https://www.google.com/maps/place/Teton+County+Fairgrounds/data=!4m2!3m1!1s0x5353a35e295ec69d:0x9bc587c4c015e2d8
Iron Creek Camp Ground,"43.826686, -103.473156",,,,https://www.google.com/maps/place/Iron+Creek+Camp+Ground/data=!4m2!3m1!1s0x877d358fba946f21:0xd8cd56e6dfe3f26f
Yellowstone Outfitters,"43.859379, -110.286567",,,,https://www.google.com/maps/place/Yellowstone+Outfitters/data=!4m2!3m1!1s0x87567225aa304bdf:0x8afee4f53279acea
Hell’s A-Roarin’ Outfitters,"45.049202, -110.630846",,,,https://www.google.com/maps/place/Hell%E2%80%99s+A-Roarin%E2%80%99+Outfitters/data=!4m2!3m1!1s0x534fd0280c940049:0xe0a506aaa9951034
Hamic Ranch,"44.978677, -109.106933",,,,https://www.google.com/maps/place/Hamic+Ranch/data=!4m2!3m1!1s0x534ecddb2cd5e61d:0x1ab8bb20b71ded31
Alkali Creek Campground,"44.375480, -103.467608",,,,https://www.google.com/maps/place/Alkali+Creek+Campground/data=!4m2!3m1!1s0x532d5aeec3766461:0x1472c0da2577a55d
Sundance Horse Camp,"44.443084, -104.348347",,,,https://www.google.com/maps/place/Sundance+Horse+Camp/data=!4m2!3m1!1s0x5332e6c5e3bda2bd:0x78d9cc541afd8929
926 Fletcher Rd,"35.346154, -85.649684",,,,https://www.google.com/maps/place/926+Fletcher+Rd/data=!4m2!3m1!1s0x88611cfb48303e9b:0x341d649fa2be1df3
Bryce Valley Ranch RV and Horse Park,"37.584315, -112.055724",,,,https://www.google.com/maps/place/Bryce+Valley+Ranch+RV+and+Horse+Park/data=!4m2!3m1!1s0x87356d8ba66758ff:0x9a39599003618ec1
Horseriders' Campground,"42.868099, -88.577239",,,,https://www.google.com/maps/place/Horseriders'+Campground/data=!4m2!3m1!1s0x8805c26cebb937e1:0xf73a39c94aa5966
Elk Fork Campground 6.7 outback hk,"44.461420, -109.630517",,,,https://www.google.com/maps/place/Elk+Fork+Campground+6.7+outback+hk/data=!4m2!3m1!1s0x534dd5d13c69b11b:0xbf5fb09c0492bdf8
Ram's Horn Guest Ranch,"43.682205, -109.767958",,,,https://www.google.com/maps/place/Ram's+Horn+Guest+Ranch/data=!4m2!3m1!1s0x534d63128e91210f:0xa37ff5459a870003
Little Sunlight Camping Area,"44.717854, -109.591421",,,,https://www.google.com/maps/place/Little+Sunlight+Camping+Area/data=!4m2!3m1!1s0x534e8eb3efe8a01b:0x4d90b590759bd224
Kruger Equestrian Campground,"40.336461, -105.476106",,,,https://www.google.com/maps/place/Kruger+Equestrian+Campground/data=!4m2!3m1!1s0x8769674bf47a3bf3:0xa866487681d69017
Buffalo Arena,"37.240390, -107.832082",,,,https://www.google.com/maps/place/Buffalo+Arena/data=!4m2!3m1!1s0x873c1ce118717621:0xa4c63f5ccdffc113
Marvine Campground,"40.007696, -107.425421",,,,https://www.google.com/maps/place/Marvine+Campground/data=!4m2!3m1!1s0x8743d6e6e82b62e3:0xef7b5483f69a7e5b
Beaver Meadows Resort Ranch,"40.842247, -105.650989",,,,https://www.google.com/maps/place/Beaver+Meadows+Resort+Ranch/data=!4m2!3m1!1s0x87690279f0ee31d5:0xdbea11c0aaefe492
Five Brooks Ranch,"37.997177, -122.758921",,,,https://www.google.com/maps/place/Five+Brooks+Ranch/data=!4m2!3m1!1s0x8085c131320b3ba5:0x51fe73cb18ec2831
Orman Guest Ranch & Stables,"41.746264, -124.156958",,,,https://www.google.com/maps/place/Orman+Guest+Ranch+%26+Stables/data=!4m2!3m1!1s0x54d067d8ba29ae11:0x30efcde155314460
Horse Ranch Park,"38.863311, -107.161382",,,,https://www.google.com/maps/place/Horse+Ranch+Park/data=!4m2!3m1!1s0x87407b2d7ce4327d:0x5aa98cf481fd3574
Tamarack Horse Campground,"46.063941, -92.386101",,,,https://www.google.com/maps/place/Tamarack+Horse+Campground/data=!4m2!3m1!1s0x52ade52ebdd5e893:0xfdfef61722fc8701
Cottonwood Guest Ranch,"41.756291, -115.122551",,,,https://www.google.com/maps/place/Cottonwood+Guest+Ranch/data=!4m2!3m1!1s0x80a845a36a806d51:0x196253cf6bec2a3c
DEEP CREEK BOARDING STABLES & CAMPING,"35.443180, -83.440451",,,,https://www.google.com/maps/place/DEEP+CREEK+BOARDING+STABLES+%26+CAMPING/data=!4m2!3m1!1s0x88594892b4d3d847:0xea88ab072424fb24
Flathat Ranch Ltd,"38.915056, -105.152326",,,,https://www.google.com/maps/place/Flathat+Ranch+Ltd/data=!4m2!3m1!1s0x8714ad5b428be4a1:0xc696bafe8d5e3b12
Horseshoe Holler Horse Camp,"37.156429, -91.356513",,,,https://www.google.com/maps/place/Horseshoe+Holler+Horse+Camp/data=!4m2!3m1!1s0x87d0af7b33d7d281:0x57b889605165dccd
Soap Creek Campground,"38.548976, -107.317367",,,,https://www.google.com/maps/place/Soap+Creek+Campground/data=!4m2!3m1!1s0x873f79258fe33235:0xb95865dfc39695cd
Big Chino Ranch,"34.915939, -112.518026",,,,https://www.google.com/maps/place/Big+Chino+Ranch/data=!4m2!3m1!1s0x872d4fd2b25b8f35:0x7f0398733fc63e90
Palisades Horse Campground,"37.540337, -107.198842",,,,https://www.google.com/maps/place/Palisades+Horse+Campground/data=!4m2!3m1!1s0x873e7caabc794b4b:0x8c26572b1c66d4a
Saul's Creek Stables,"37.260751, -107.524243",,,,https://www.google.com/maps/place/Saul's+Creek+Stables/data=!4m2!3m1!1s0x873c2662aeff4fa9:0x7c657d5d9d2af822
Boulder Lake Campground,"42.854667, -109.618845",,,,https://www.google.com/maps/place/Boulder+Lake+Campground/data=!4m2!3m1!1s0x8757888b7262e71b:0x61605aaa4dcf0ad2
Cedar Lake Equestrian Campground,"34.774247, -94.701329",,,,https://www.google.com/maps/place/Cedar+Lake+Equestrian+Campground/data=!4m2!3m1!1s0x87caea85bfaf8e03:0x60828c20e7f091fd
Tram Road Equestrian Campground,"29.228341, -81.181841",,,,https://www.google.com/maps/place/Tram+Road+Equestrian+Campground/data=!4m2!3m1!1s0x88e6e7cb7fc3c099:0x750ae003224527c7
Love Valley,"35.982411, -80.987136",,,,https://maps.app.goo.gl/ciYsyxU1QVea3dMV8
Turpin Meadow Campground,"43.855935, -110.265044",,,,https://www.google.com/maps/place/Turpin+Meadow+Campground/data=!4m2!3m1!1s0x53526471ca2f2a81:0xbf12ff0d7df04415
Wrangler Meadow Horse Camp,"38.731165, -79.482161",,,,
Farmlane Campground,"42.344970, -84.139675",,,,https://maps.app.goo.gl/msQx5CumSSt7fTW68
Pine Valley Equestrian Campground,"37.380071, -113.484192",,,,https://www.google.com/maps/place/Equestrian+Campground+Rd/data=!4m2!3m1!1s0x80ca649f2d20d4f7:0xab43ba95d6f2a629
Hapi Trails,"43.672514, -111.107495",,,,https://www.google.com/maps/place/Hapi+Trails/data=!4m2!3m1!1s0x5353a12899218f93:0x51fe98721e24f42c
Valle Vidal,"36.757094, -105.269247",,,,https://www.google.com/maps/place/Valle+Vidal/data=!4m2!3m1!1s0x87173bb46f6fc085:0x7b14fc407fb7a57f
Kalama Horse Camp Campground,"46.142618, -122.327041",,,,https://www.google.com/maps/place/Kalama+Horse+Camp+Campground/data=!4m2!3m1!1s0x5494274a15b3a27d:0x40844a7c49e7d440
"Hay Creek Ranch, AZ – Horse Camp","32.548940, -110.704110",,,,"https://www.google.com/maps/place/Hay+Creek+Ranch,+AZ+%E2%80%93+Horse+Camp/data=!4m2!3m1!1s0x86d63d6724d669ed:0x7cd0698bfa59b911"
Tasha Equestrian Campground,"38.621487, -111.660524",,,,https://www.google.com/maps/place/Tasha+Equestrian+Campground/data=!4m2!3m1!1s0x874bb2797abd335b:0x692bc29a7cbe0f76
Lockwood Park & Trailside Equestrian Centre,"42.304957, -89.138416",,,,https://www.google.com/maps/place/Lockwood+Park+%26+Trailside+Equestrian+Centre/data=!4m2!3m1!1s0x8808942f078b3ac5:0xd14a62b03de5ffc3
Gunsight Point,"36.667720, -112.614356",,,,https://www.google.com/maps/place/Gunsight+Point/data=!4m2!3m1!1s0x8734b34bda12f8c3:0xb8a1ea9c93ef922f
Haven at Box Canyon,"35.427707, -98.293824",,,,https://www.google.com/maps/place/Haven+at+Box+Canyon/data=!4m2!3m1!1s0x87adc5fd4bc779bb:0xd6cfcd4ebf1e4439
Robbers Cave Stables,"34.997655, -95.353345",,,,https://www.google.com/maps/place/Robbers+Cave+Stables/data=!4m2!3m1!1s0x87b5737786728c71:0x431a99657c7b532d
Horse Heaven campground,"34.730293, -94.931808",,,,https://www.google.com/maps/place/Horse+Heaven/data=!4m2!3m1!1s0x87caa2f695a315bf:0x838a230addb475fd
MCS Stables,"35.123223, -111.710625",,,,https://www.google.com/maps/place/MCS+Stables/data=!4m2!3m1!1s0x872d852b5a7585cf:0x31007f446fc92f44
Triple M Stable LLC,"41.201787, -95.753279",http://www.triplemstable.com/,17123660185,"Triple M Stable, LLC Council Bluffs Iowa is your premier location for boarding, training, lessons, sales,and overnight stabling for all your equine needs. We strive to help all equine enthusiast's meet their full potential. With 50 plus years experience and 24/7 care with owner living on-site, we do our best to keep all horses happy and healthy! Near Hotels, Motels, Casino's and Interstates 80 & 29 in Council Bluffs Iowa.",https://www.google.com/maps/place/Triple+M+Stable+LLC+Bob/data=!4m2!3m1!1s0x87938193e7c2ff25:0x9f1bb4d2160bd9ee
D bar D Ranch,"43.873676, -85.666959",http://www.dbardranchmichigan.com/,12318782155,"Camping in Michigan has never been better than at our 500-acre ranch with over 15 miles of beautiful riding trails is the perfect place for you and your family or friends to come, relax, and explore, with or without the company of your horse.

Our campground currently offers 35 improved campsites with water, electric and two wooden corals per site.

We also have large areas for rustic camping with picket poles.

There is ice, firewood, hay, wood shavings, and propane tanks available on site for purchase, as well as a waste dump station.",https://www.google.com/maps/place/D+bar+D+Ranch/data=!4m2!3m1!1s0x881ed9c307095315:0x660815bdfe5d673b
Saddle Peak Trail Rides,"51.225219, -114.957479",,,,https://maps.app.goo.gl/teSZW61NmASeh3ay6
Falling Water Horse Camp,"35.714239, -92.953940",http://fallingwaterhorsecamp.com/,18702945051,"Campsites
Electric and Water Hookups.  
50 AMP sites 35.00 a night
30 AMP sites 30.00 a night
Deposits 50.00 per site they are Non-Refundable.

Stalls
10X10 Covered Stall
10.00 a night per Horse up to two horses per site 
Additional stalls are 15.00 
Pelleted bedding required.

Bunkhouse
Queen and Twin bed
Fridge, microwave, and coffee pot
$75.00 a night",https://www.google.com/maps/place/Falling+Water+Horse+Camp/data=!4m2!3m1!1s0x87cdcfdecd523257:0x575d9d4b6fbb4e8d
Gunslinger Gulch Guest Ranch,"46.162515, -113.006258",https://gunslingergulch.com/,14065596715,,https://www.google.com/maps/place/Gunslinger+Gulch+Guest+Ranch/data=!4m2!3m1!1s0x535b91d397449559:0x1457b18dde4fdd99
Buck Run Horse Campground LLC,"36.466248, -84.797577",,,,https://www.google.com/maps/place/Buck+Run+Horse+Campground+LLC/data=!4m2!3m1!1s0x885d8344e79c795b:0x3d28993f39196b23
Quiet Woods green river stables,"37.285158, -85.343579",,,,https://www.google.com/maps/place/Quiet+Woods+green+river+stables/data=!4m2!3m1!1s0x8868740f672d17c7:0xb9b6d4cbdc97059f
Buck Creek Ranch Campground,"37.524170, -88.413094",,16182641007,,https://www.google.com/maps/place/79+Gaskin+Mine+Rd/data=!4m2!3m1!1s0x887096c77749312d:0x9ec12c9665804a3
Elkhorn Ranch,"45.062575, -111.190123",,,,https://www.google.com/maps/place/Elkhorn+Ranch/data=!4m2!3m1!1s0x53503c6cbf503a79:0x1f0e70a96a7f4b2a
Covered Wagon Ranch,"45.075147, -111.204615",,,,https://www.google.com/maps/place/Covered+Wagon+Ranch/data=!4m2!3m1!1s0x53503c3e388aaa61:0xc871850e67610297
"Spur of the Moment Ranch, LLC","45.141825, -88.472574",,,,"https://www.google.com/maps/place/Spur+of+the+Moment+Ranch,+LLC/data=!4m2!3m1!1s0x4d5347ffa062ecd1:0x40d7f164f1abc932"
Lake Glendale Stables & Equestrian Center,"37.416925, -88.645964",,,,https://www.google.com/maps/place/Lake+Glendale+Stables+%26+Equestrian+Center/data=!4m2!3m1!1s0x8870af762fa18d8b:0x4d0bac5f20094b1d
Frank Russell Campground,"39.535445, -91.651686",,,,https://www.google.com/maps/place/Frank+Russell+Campground/data=!4m2!3m1!1s0x87ddbbd9dc18de95:0x443a669c57aa9842
Phantom Ranch,"36.104156, -112.095700",,,,https://www.google.com/maps/place/Phantom+Ranch/data=!4m2!3m1!1s0x873311a0814cef0f:0xce7cf77591d7d380
Honey Creek Horse Camp,"36.422210, -84.678878",https://www.honeycreekhorsecamp.com/,19318799950,,https://www.google.com/maps/place/Honey+Creek+Horse+Camp/data=!4m2!3m1!1s0x885d9ebb3e135821:0x6b5633882c18848
The Bolo Club,"34.999742, -85.955558",,,,https://www.google.com/maps/place/The+Bolo+Club/data=!4m2!3m1!1s0x88619843f8bebab9:0xac809ef8e0b7d78b
North Fork River Ranch,"36.861999, -92.178874",,,,https://www.google.com/maps/place/North+Fork+River+Ranch/data=!4m2!3m1!1s0x87d03f5a0da0e02d:0x1149b8b259a6e73e
Gum Springs Horse Campground,"31.901332, -92.782441",,,,https://www.google.com/maps/place/Gum+Springs+Horse+Campground/data=!4m2!3m1!1s0x86306b33e6739e11:0xefa225918a3d497e
Cedar Island RV Park,"35.016454, -76.316782",https://roadville.com/cedar-island,12526508050,We’re open year-round. Most RV sites have views of the Pamlico Sound – 17 are directly on the bay water. Twelve pull-through sites directly face Cedar Island beach with fantastic views. Our RV park has 61 spaces with water plus 30- and 50-amp electric service. We have RV sites and primitive tent sites.,https://www.google.com/maps/place/Cedar+Island+RV+Park/data=!4m2!3m1!1s0x89a605b2af36328f:0xf2b1d769861a9e
French Creek Camping Area Fairbairn Agates,"43.662038, -103.022473",,,,https://www.google.com/maps/place/French+Creek+Camping+Area/data=!4m2!3m1!1s0x877d1d651730c001:0x12e8f4fe8cde01e3
La Riviere Horse Park,"43.027777, -91.102366",,,,https://www.google.com/maps/place/La+Riviere+Park/data=!4m2!3m1!1s0x87fc84d0841e6b67:0x7ed5b246841f677c
Inlet Point Plantation,"33.867519, -78.580079",,,,https://www.google.com/maps/place/Inlet+Point+Plantation/data=!4m2!3m1!1s0x890086fc9d4ea025:0x5b4209b061c4d099
Bar X Ranch,"46.894953, -103.546643",,,,https://www.google.com/maps/place/Bar+X+Ranch/data=!4m2!3m1!1s0x5325c492d6c6ed85:0x40896524fc282526
Boston Mountain Horse Camp,"35.812504, -92.867958",https://www.facebook.com/bostonmtnhorsecamp/,18705041165,,https://www.google.com/maps/place/Boston+Mountain+Horse+Camp/data=!4m2!3m1!1s0x87cdd95c9a3bbf29:0x67f4101594b8b92c
Broyhill Equestrian Preserve,"36.136596, -81.691501",,,,https://www.google.com/maps/place/Broyhill+Equestrian+Preserve/data=!4m2!3m1!1s0x8850eff796e1f493:0xcf1adcd2c7e51dc6
Cedar Lake Campground,"37.499779, -88.798884",,,,https://www.google.com/maps/place/Cedar+Lake+Campground/data=!4m2!3m1!1s0x88774cfe50ff8b3f:0x8f80876b80b3656a
Circle B Campground,"37.531062, -88.569776",,,,https://www.google.com/maps/place/Circle+B+Campground/data=!4m2!3m1!1s0x8870bbeeebf110cb:0x8cc73e6a13f53dc1
Faye Whittemore Farms,"33.913065, -87.184220",,,,https://www.google.com/maps/place/Faye+Whittemore+Farms/data=!4m2!3m1!1s0x88885ce42ba865a3:0x818ca288deefd60a
Cowboy Country Club Campground,"36.415384, -84.667101",,,,https://www.google.com/maps/place/Cowboy+Country+Club+Campground/data=!4m2!3m1!1s0x885d9f5df5b05455:0xf8e7e1d309023903
Big Fork Campground,"36.419546, -84.705691",,,,https://www.google.com/maps/place/Big+Fork+Campground/data=!4m2!3m1!1s0x885d9c1156f36681:0xf4e7335def146e27
Saddle Valley Ranch Horse & RV Park,"36.150807, -92.380355",,,,https://www.google.com/maps/place/Saddle+Valley+Ranch+Horse+%26+RV+Park/data=!4m2!3m1!1s0x87d1e129b0f3c873:0xc03108a59aee9e5f
